ID,Station,Lat,Long,Lines,Step free Info,Borough,Zones,Opening date,Other names
Abbey_Road,Abbey Road,,,DLR,,Newham,2 & 3,31 August 2011,
Abbey_Wood,Abbey Wood,,,Elizabeth,,,4,,
Acton_Central,Acton Central,,,London Overground,,,3,,
Acton_Main_Line,Acton Main Line,,,Elizabeth,,,3,,
Acton_Town,Acton Town,51.5025,-0.278126,"District, Piccadilly",,Ealing,3,1 July 1879,Mill Hill Park: 1879–1910
Aldgate,Aldgate,51.51394,-0.07537,"Metropolitan, Circle",No,City of London,1,18 November 1876,
Aldgate_East,Aldgate East,51.51514,-0.07178,"District, Hammersmith & City",,Tower Hamlets,1,6 October 1884resited 31 October 1938,Commercial Road: Proposed before opening
All_Saints,All Saints,51.510301,-0.012832,DLR,All DLR stations are step-free.,Tower Hamlets,2,31 August 1987[6],"Poplar High Street, East India Docks Road[7]"
Alperton,Alperton,51.54097,-0.30061,Piccadilly,,Brent,4,28 June 1903,Perivale-Alperton: 1903–10
Amersham,Amersham,Amersham,,Metropolitan,,,9,,
Anerley,Amersham,51.67435,-0.60732,Metropolitan,No (although plans are underway to change this),Buckinghamshire,9,1 September 1892,Amersham: 1892–1922Amersham & Chesham Bois: 1922–34
Angel,Angel,51.53253,-0.10579,Northern,No (Escalators),Islington,1,17 November 1901,
Archway,Archway,51.56536,-0.13474,Northern,,Islington,2 & 3,22 June 1907,Archway Tavern: Proposed before openingHighgate: 1907–39Archway (Highgate): 1939–41Highgate (Archway): 1941–47
Arnos_Grove,Arnos Grove,51.61625,-0.13355,Piccadilly,,Enfield,4,19 September 1932,Bowes Road: Proposed before opening[7]
Arsenal,Arsenal,51.55847,-0.10561,Piccadilly,,Islington,2,15 December 1906,Gillespie Road: 1906–32Arsenal (Highbury Hill): 1932– suffix gradually dropped
Baker_Street,Baker Street,51.522236,-0.15708,"Bakerloo, Jubilee, Circle, Hammersmith & City",No,City of Westminster,1,10 January 1863,
Balham,Balham,51.44344113,-0.152945844,Northern,No,Wandsworth,3,6 December 1926,
Bank_Monument_hub,Bank/ Monument,51.510165,-0.085991,"Circle, District, Central, Waterloo & City, DLR",,City of London,1,6 October 1884,King William Street: Proposed before opening; East Cheap: 1884; City (W&C line): 1898–1940; Lombard Street (Northern line): Proposed before opening
Barbican,Barbican,51.520865,-0.097758,"Circle, Hammersmith & City, Metropolitan",No,City of London,1,23 December 1865,Aldersgate Street: 1865–1910Aldersgate: 1910–23Aldersgate & Barbican: 1923–68
Barking,Barking,51.54079,0.08018,"District, Hammersmith & City",,Barking and Dagenham,4,2 June 1902,
Barking_Riverside,Barking Riverside,,,London Overground,,,4,,
Barkingside,Barkingside,51.58543,0.08854,Central,,Redbridge,4,31 May 1948,
Barons_Court_district,Barons Court,51.490281,-0.21434,"Piccadilly, District",,Hammersmith and Fulham,2,9 October 1905,
Barons_Court_piccadilly,Barons Court,51.490281,-0.21434,"Piccadilly, District",,Hammersmith and Fulham,2,9 October 1905,
Battersea_Park,Battersea Park,,,London Overground,,,2,,
Battersea_Power_Station,Battersea Power Station,51.4795,-0.142,Northern,Yes,Wandsworth,1,20 September 2021,Battersea: Proposed
Bayswater_circle,Bayswater,51.51224,-0.187569,"Circle, District",,City of Westminster,1,1 October 1868,Bayswater: 1868–1923Bayswater (Queen's Road) & Westbourne Grove: 1923–33Bayswater (Queen's Road): 1933–46Bayswater (Queensway): 1946– suffix gradually dropped
Bayswater_district,Bayswater,51.51224,-0.187569,"Circle, District",,City of Westminster,1,1 October 1868,Bayswater: 1868–1923Bayswater (Queen's Road) & Westbourne Grove: 1923–33Bayswater (Queen's Road): 1933–46Bayswater (Queensway): 1946– suffix gradually dropped
Beckton,Beckton,51.514411,0.06164,DLR,All DLR stations are step-free.,Newham,3,28 March 1994[6],–
Beckton_Park,Beckton Park,51.508758,0.054778,DLR,All DLR stations are step-free.,Newham,3,28 March 1994[6],–
